"teamName","character","characterScore","nonWeightedAverageStabilityScore","nonWeightedAverageSimilarityScore","diversityScore"
"A-little-HOPE","A","0.00000074126819405009922771700974295270794","1","0.76359041929244992","0.000004984779279896638"
"A-little-HOPE","B","0.001388537049339032913493994862680313","0.821078431606292724","0.013973285723477602","0.4087345203027643"
"A-little-HOPE","C","0.00000002120518732282771366119273499721868","1","0.00541725703515112395","0.000013131333248139753"
"A-little-HOPE","D","0.001341162947423855223274403783033344","1","0.0114249640144407748","0.4742781134867968"
"A-little-HOPE","E","0.0021119191462496688316646227004705","1","0.01824841150082647835","0.3854861267208194"
"A-little-HOPE","F","0.0026753962635395121536208512057387694","1","0.0626953531056642544","0.12728514350013798"
"A-little-HOPE","G","0.002072477638207677098307079450775721","1","0.0196422068402171134","0.4805877641147871"
"A-little-HOPE","H","0.00290657317623388849265364462844695","1","0.0158049976453185082","0.6058210003005675"
"A-little-HOPE","I","0.00163825727942215046355592097523073558","1","0.72692248225212096","0.014550866679223142"
"A-little-HOPE","J","0.000730344801703927106507607990832992","1","0.0188249370548874133","0.1365459901445128"
"A-little-HOPE","K","0.002776692038705335518182869099585448","0.8238095223903656","0.01357846977189183216","0.6439366742937962"
"A-little-HOPE","L","0.009980539903340808776852916639655593","0.7","0.1563781939912587407","0.22359097352769738"
"A-little-HOPE","M","0","1","0.01425961684435606","0"
"A-little-HOPE","N","0.00181644548702465167959414353520384","0.84166665077209472","0.0281570727471262225","0.2079413888717184"
"A-little-HOPE","O","0.00121449706667037526361089588615647","1","0.0120905266143381596","0.4363624746316809"
"A-little-HOPE","P","0.006222937580057974067933022788358636","1","0.0362062999513000252","0.5992906199240318"
"A-little-HOPE","Q","0.0033978642598265242113184674215853","0.63666667342185974","0.0242717764340341094","0.6874751571538267"
"A-little-HOPE","R","0.004129749672446455441740472129661648","0.5","0.0616684241220355039","0.3897949570524724"
"A-little-HOPE","S","0.002357977430023835592949594830705275","0.772272726893424984","0.0196893393062055108","0.6304930840002961"
"A-little-HOPE","T","0","1","0.021010441705584526","0"
"A-little-HOPE","U","0.008711598847155806287062878374134162","0.66272727251052856","0.0715802525170147419","0.5279522700012181"
"A-little-HOPE","V","0.001835278351042095481935887818122072","0.90444444715976716","0.010391906136646867","0.8079926401948747"
"A-little-HOPE","W","0.0021534286049944604667163287196287841","0.69473684430122375","0.0290992244146764282","0.20248375702163987"
